Mecanisme;Taux;Taux_num;Variable;Type;Methode;RMSE;RMSE_std;NRMSE;MAE;MAE_std;Bias;KS_pvalue;Wilcoxon_pvalue;F1;Accuracy;Kappa;MCC;Chi2_pvalue;Temps_moyen;Var_Ratio;F1_std
MCAR;10%;0.1;Sexe;Binaire;Mediane/Mode;;;;;;;;;0.4162964787447546;0.5705696953110746;0.0;0.0;2.897786584000779e-57;0.014980316162109375;0.9069878440249977;0.07667533886154648
MCAR;10%;0.1;Adipo HMW;Continue;KNN (k=5);5.222473039243027;4.27653723826847;0.1073903634240752;1.875868835146613;1.0621711559536906;-0.4249846195306489;0.9761166724039191;0.18878710915450939;;;;;;0.10719585418701172;0.9216895018903962;
MCAR;10%;0.1;Age;Continue;KNN (k=5);11.54001921836325;1.7471068528782532;0.21370405959931943;9.407334946561807;1.4209593580004456;1.002251894103074;0.9660645316522448;0.18226113195155974;;;;;;0.10719585418701172;0.9216895018903962;
MCAR;10%;0.1;Glibenclamide 5mg;Continue;KNN (k=5);4.912347967363261;0.8603111029035321;0.24561739836816301;3.7806779848885115;0.38213452157751215;0.2533340722814407;0.788127012924692;0.2916899532266385;;;;;;0.10719585418701172;0.9216895018903962;
MCAR;10%;0.1;Glu;Continue;KNN (k=5);0.6955492236804368;0.10378547845862814;0.1280937796833217;0.5183963381577772;0.07085485900186383;0.05298812445278298;0.9996948170352166;0.4218804393756727;;;;;;0.10719585418701172;0.9216895018903962;
MCAR;10%;0.1;HDL;Continue;KNN (k=5);0.22224537095574348;0.010644788366149422;0.15541634332569476;0.1699000996988137;0.011853268029760538;5.831765935215144e-05;0.998873147700342;0.4311127748548915;;;;;;0.10719585418701172;0.9216895018903962;
MCAR;10%;0.1;HOMA-IR;Continue;KNN (k=5);7.497604950730718;7.924897699845152;0.07500052988426284;1.955234872022238;1.9266775405029137;-1.0752563098049142;0.9994322488232232;0.38486033375374973;;;;;;0.10719585418701172;0.9216895018903962;
MCAR;10%;0.1;HOMAB%;Continue;KNN (k=5);64.08658886486688;21.746125642705163;0.18711412807260402;39.256678332981934;8.575659313588071;-6.463057940021886;0.9122155386146128;0.40366514427714717;;;;;;0.10719585418701172;0.9216895018903962;
MCAR;10%;0.1;HOMAS%;Continue;KNN (k=5);331.98943244575014;214.58667667898337;0.1083976336062135;157.5248709569688;71.13651093434733;-8.06663096392529;0.9839791015667277;0.26002437265997286;;;;;;0.10719585418701172;0.9216895018903962;
MCAR;10%;0.1;IMC;Continue;KNN (k=5);4.642281391110252;1.4004152875897407;0.11635402826035982;3.4936386564853037;0.7741605335100148;-0.6315704955171884;0.9961538233185074;0.48321005477919243;;;;;;0.10719585418701172;0.9216895018903962;
MCAR;10%;0.1;Ins (µUI/mL);Continue;KNN (k=5);3.2328054480161894;0.4355729726011952;0.05582330565235901;1.9632649911637343;0.16984906498255375;-0.6462667191383366;0.9979695356548239;0.641771067359332;;;;;;0.10719585418701172;0.9216895018903962;
MCAR;10%;0.1;Insu pmol/L;Continue;KNN (k=5);35.64160442038352;7.398791388922577;0.10257510643582941;22.537690309811158;3.8575338818580027;-3.7733588310284985;0.946908285656729;0.3071688531801101;;;;;;0.10719585418701172;0.9216895018903962;
MCAR;10%;0.1;Insuline 10 UI;Continue;KNN (k=5);1.4221328325395362;1.087571707592564;0.1422132832539536;0.37856427856427854;0.29149424989956574;-0.2029029029029029;1.0;0.6050985389107792;;;;;;0.10719585418701172;0.9216895018903962;
MCAR;10%;0.1;LDLc;Continue;KNN (k=5);0.49350684803061406;0.04504499142014557;0.22310436167749287;0.39286683134226663;0.03936637694335565;-0.006997598183057001;0.9938989498124045;0.5302928548218915;;;;;;0.10719585418701172;0.9216895018903962;
MCAR;10%;0.1;Lasilix 40 mg;Continue;KNN (k=5);0.0;0.0;;0.0;0.0;0.0;1.0;1.0;;;;;;0.10719585418701172;0.9216895018903962;
MCAR;10%;0.1;Lexomil 6 mg;Continue;KNN (k=5);0.0;0.0;;0.0;0.0;0.0;1.0;1.0;;;;;;0.10719585418701172;0.9216895018903962;
MCAR;10%;0.1;Metformine 500 mg;Continue;KNN (k=5);890.7588903838487;105.31082766228187;0.44537944519192435;738.2777639027638;117.25970179986305;47.83861971361972;0.7999216459202501;0.38890799948611193;;;;;;0.10719585418701172;0.9216895018903962;
MCAR;10%;0.1;Non HDL;Continue;KNN (k=5);0.44831023154615013;0.059850774414708284;0.18525216179592982;0.36248903323626724;0.05261700984621959;0.01588658462105271;0.9850797726034279;0.5291817137944799;;;;;;0.10719585418701172;0.9216895018903962;
MCAR;10%;0.1;PAD;Continue;KNN (k=5);11.935441627683796;1.7748545695869573;0.13410608570431232;9.00409983833371;0.9963250962132945;-0.18285256410256465;0.9893315378252284;0.6291532980113884;;;;;;0.10719585418701172;0.9216895018903962;
MCAR;10%;0.1;PAS;Continue;KNN (k=5);19.860239790558996;2.428388004812272;0.15277107531199224;16.28770267379679;1.769602775235536;2.007299108734402;0.9930598252867748;0.42055912785542204;;;;;;0.10719585418701172;0.9216895018903962;
MCAR;10%;0.1;PCSK9;Continue;KNN (k=5);37.20389444302719;15.228782486159632;0.11151808531818899;26.42614924719163;5.0324157347818215;0.15182329547134935;0.8960211728460743;0.6028676598762559;;;;;;0.10719585418701172;0.9216895018903962;
MCAR;10%;0.1;Prot;Continue;KNN (k=5);11.25187054196707;3.737139142332621;0.12256939588199423;8.213206513056836;2.384139873291723;-1.6619129339477727;0.9980767927457611;0.7096924519210214;;;;;;0.10719585418701172;0.9216895018903962;
MCAR;10%;0.1;Ratio LDL-c/HDL;Continue;KNN (k=5);4.195728075325372;2.2717474695662077;0.04563491828548425;2.1546663093470784;0.9284745893949181;-0.600739380547423;0.9974188475995124;0.46824501153314485;;;;;;0.10719585418701172;0.9216895018903962;
MCAR;10%;0.1;Ratio LogTG/HDL;Continue;KNN (k=5);0.28375425081067485;0.045133189963166676;0.1357860407563182;0.2173339285920683;0.0385605051562553;-0.02308734108194737;0.9988990919768476;0.42493218137678923;;;;;;0.10719585418701172;0.9216895018903962;
MCAR;10%;0.1;Ratio TG/HDL;Continue;KNN (k=5);3.4960504806470767;2.444049699241677;0.08226001130934299;1.5956190777687909;0.8261244170559906;-0.023939004688480585;0.9806029320713774;0.1691030397000759;;;;;;0.10719585418701172;0.9216895018903962;
MCAR;10%;0.1;Ratio Tot-c/HDL;Continue;KNN (k=5);2.7266563973478837;0.705303763106189;0.02712234199612895;1.635906740576249;0.26221767636455534;0.7594715273955421;0.9799366686631131;0.11764833629131317;;;;;;0.10719585418701172;0.9216895018903962;
MCAR;10%;0.1;TG;Continue;KNN (k=5);0.464560189408685;0.10310291847064025;0.13235333031586466;0.36027743506493504;0.08578705727344865;-0.026128926166426158;0.9994490741176403;0.5890992242856705;;;;;;0.10719585418701172;0.9216895018903962;
MCAR;10%;0.1;TT;Continue;KNN (k=5);13.973466947421244;1.1491614491582358;0.08124108690361187;10.958559266892433;1.1453496912870447;-0.7382103265754519;0.9974188475995124;0.4483993305088626;;;;;;0.10719585418701172;0.9216895018903962;
