Taux_Perte;Taux_Perte_num;Variable;Type_Variable;Methode;RMSE;MAE;KS_pvalue;Wilcoxon_pvalue;F1_weighted;Classification_Error;Chi2_pvalue
40%;0,4;TG;Continu;MICE (sklearn);0,6415948272231063;0,5097616404933808;0,8074043812092967;0,49915887109099033;;;
40%;0,4;Non HDL;Continu;MICE (sklearn);0,47430228322383183;0,3708854742063008;0,9499065344511678;0,575798616805858;;;
40%;0,4;PCSK9;Continu;MICE (sklearn);52,55656214812287;40,205833516526205;0,31482613288791556;0,6821500042805109;;;
40%;0,4;Glu;Continu;MICE (sklearn);0,8402779104086051;0,5765463352006541;0,7442018745342833;0,453786564557058;;;
40%;0,4;Ins (µUI/mL);Continu;MICE (sklearn);5,403346866038533;3,784105670096679;0,6776105978838524;0,8138696980017247;;;
40%;0,4;HOMAB%;Continu;MICE (sklearn);76,80425984078182;59,69205793819198;0,039356539334689765;0,013472790370719072;;;
40%;0,4;HOMA-IR;Continu;MICE (sklearn);14,832218772510128;10,407530959182077;0,0006481855608054158;0,8688218779437656;;;
40%;0,4;Adipo HMW;Continu;MICE (sklearn);6,675103500302461;5,116816423623711;0,002999139400832548;0,19290298636450554;;;
40%;0,4;Glibenclamide 5mg;Continu;MICE (sklearn);6,767744496813283;5,4865215937952;0,003995122247078164;0,5993247724103543;;;
40%;0,4;Insuline 10 UI;Continu;MICE (sklearn);2,029412885890533;1,4683298142247359;2,5521483019963285e-08;0,2684670691541362;;;
40%;0,4;Lasilix 40 mg;Continu;MICE (sklearn);0,00015641176318294665;0,0001269947598866145;5,7595008939683615e-05;0,5814436230864759;;;
40%;0,4;Lexomil 6 mg;Continu;MICE (sklearn);0,00019021173192845879;0,00014910908619880154;5,586801793405717e-06;0,3744079012023588;;;
40%;0,4;Metformine 500 mg;Continu;MICE (sklearn);1360,7728957492557;1127,9218981989573;0,005287224936506957;0,06620425466318768;;;
40%;0,4;Ratio Tot-c/HDL;Continu;MICE (sklearn);4,965580840441698;3,153662557412109;0,06092073473992785;0,6100613905222307;;;
40%;0,4;Ratio LDL-c/HDL;Continu;MICE (sklearn);4,426741549979434;2,8571287153041673;0,06092073473992785;0,5054686075959731;;;
40%;0,4;Ratio TG/HDL;Continu;MICE (sklearn);5,067680929606181;4,020548463808119;0,00011887374534801706;0,7704788097226694;;;
40%;0,4;Ratio LogTG/HDL;Continu;MICE (sklearn);0,401745224293735;0,32145147927278556;0,6101327398229283;0,9515272514500709;;;
40%;0,4;Insu pmol/L;Continu;MICE (sklearn);33,51575330408052;22,908255189161856;0,5438221307073731;0,600959558984746;;;
40%;0,4;lu(mmol/l);Continu;MICE (sklearn);4,706453364987914;3,309855594888133;0,6101327398229283;0,14764815181273092;;;
40%;0,4;HOMAS%;Continu;MICE (sklearn);574,2355080998526;395,17308489157955;0,002999139400832548;0,3221792327873765;;;
40%;0,4;Sexe;Binaire;MICE (sklearn);;;;;0,6795183539864391;0,3214285714285714;5,165360936411969e-40
40%;0,4;HTA;Binaire;MICE (sklearn);;;;;0,5956735890455856;0,4225352112676056;3,2312093652873168e-25
40%;0,4;HTS/HTD;Ordinal;MICE (sklearn);;;;;0,2892899096302115;0,7441860465116279;6,93033938882578e-53
40%;0,4;Profil_glycemique;Ordinal;MICE (sklearn);;;;;0,43563348416289593;0,6230769230769231;1,2940533626000525e-52
40%;0,4;Age;Continu;KNN (k=5);12,319883720381494;9,64186046511628;0,0491245619180859;0,1063149496766514;;;
40%;0,4;IMC;Continu;KNN (k=5);6,545798945777621;4,477786336455284;0,09188614878431155;0,5925852628526821;;;
40%;0,4;TT;Continu;KNN (k=5);17,179878260752126;11,300775193798449;0,19331462809017694;0,4784828710452109;;;
40%;0,4;PAS;Continu;KNN (k=5);22,585504200703603;18,361666666666668;0,039356539334689765;0,12323970523283698;;;
